epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,6083.27,0.87631,0.49972,0.00294,0.87893,0.91156,0.9555,0.75459,0.80448,0.43503,0.00353,3.178e-05,3.178e-05,3.178e-05
126,6131.19,0.87765,0.50257,0.0029,0.87426,0.92777,0.95626,0.75514,0.80248,0.42784,0.00353,3.0625e-05,3.0625e-05,3.0625e-05
127,6179.22,0.87178,0.49403,0.00288,0.88569,0.91339,0.95764,0.75785,0.79804,0.4208,0.0035,2.947e-05,2.947e-05,2.947e-05
128,6227.18,0.88265,0.50186,0.00298,0.88055,0.91253,0.95635,0.75903,0.79273,0.42318,0.00349,2.8315e-05,2.8315e-05,2.8315e-05
129,6274.96,0.87726,0.50244,0.00292,0.87976,0.91618,0.95678,0.75866,0.79719,0.42551,0.00349,2.716e-05,2.716e-05,2.716e-05
130,6322.83,0.87614,0.50121,0.00296,0.88007,0.91497,0.95399,0.7537,0.80041,0.43265,0.0035,2.6005e-05,2.6005e-05,2.6005e-05
131,6371.02,0.86755,0.4799,0.00286,0.89451,0.90826,0.95755,0.76145,0.7897,0.42046,0.00345,2.485e-05,2.485e-05,2.485e-05
132,6418.93,0.86788,0.50352,0.00291,0.90413,0.90483,0.95968,0.76372,0.78728,0.41926,0.00344,2.3695e-05,2.3695e-05,2.3695e-05
133,6466.87,0.86808,0.48952,0.00289,0.8924,0.91648,0.95972,0.76531,0.78434,0.41465,0.00342,2.254e-05,2.254e-05,2.254e-05
134,6515.03,0.85683,0.47959,0.00283,0.8959,0.91203,0.95754,0.76173,0.78787,0.42163,0.00344,2.1385e-05,2.1385e-05,2.1385e-05
135,6562.67,0.85685,0.48867,0.00287,0.88829,0.9145,0.9568,0.76168,0.78937,0.42494,0.00345,2.023e-05,2.023e-05,2.023e-05
136,6613.05,0.85428,0.4733,0.00282,0.89455,0.91562,0.95826,0.76441,0.78207,0.41606,0.00342,1.9075e-05,1.9075e-05,1.9075e-05
137,6662.24,0.85135,0.46301,0.00281,0.89165,0.91655,0.95844,0.76568,0.77962,0.41788,0.00341,1.792e-05,1.792e-05,1.792e-05
138,6711.72,0.86829,0.48339,0.0029,0.89683,0.91456,0.96008,0.76944,0.77066,0.40728,0.00338,1.6765e-05,1.6765e-05,1.6765e-05
139,6761.01,0.84879,0.47494,0.00282,0.8969,0.91506,0.95982,0.76695,0.77969,0.41103,0.0034,1.561e-05,1.561e-05,1.561e-05
140,6809.93,0.84507,0.48548,0.00278,0.89277,0.91455,0.96014,0.76802,0.77638,0.41132,0.00339,1.4455e-05,1.4455e-05,1.4455e-05
141,6881.49,0.81828,0.42892,0.00333,0.89983,0.89123,0.95676,0.75682,0.80799,0.42947,0.00354,1.33e-05,1.33e-05,1.33e-05
142,6929.46,0.77511,0.39675,0.00313,0.89907,0.89146,0.95614,0.75499,0.81253,0.434,0.00356,1.2145e-05,1.2145e-05,1.2145e-05
143,6976.68,0.76348,0.38909,0.00309,0.89657,0.90333,0.95838,0.75939,0.8043,0.42304,0.00351,1.099e-05,1.099e-05,1.099e-05
144,7023.77,0.75563,0.38183,0.00301,0.90252,0.88928,0.95678,0.75851,0.80599,0.42753,0.00352,9.835e-06,9.835e-06,9.835e-06
145,7070.64,0.76223,0.38584,0.00305,0.90745,0.8897,0.95818,0.76088,0.80084,0.42147,0.0035,8.68e-06,8.68e-06,8.68e-06
146,7118.02,0.76119,0.38212,0.00311,0.89732,0.89968,0.95655,0.75842,0.80347,0.42779,0.00351,7.525e-06,7.525e-06,7.525e-06
147,7165.03,0.75425,0.38036,0.00308,0.8998,0.90492,0.95873,0.76325,0.79352,0.421,0.00347,6.37e-06,6.37e-06,6.37e-06
148,7211.68,0.74647,0.37416,0.00304,0.8947,0.91249,0.9602,0.76684,0.78879,0.41402,0.00345,5.215e-06,5.215e-06,5.215e-06
149,7259.87,0.74082,0.3813,0.00298,0.88723,0.91345,0.9598,0.76554,0.78964,0.41675,0.00346,4.06e-06,4.06e-06,4.06e-06
150,7307.97,0.74794,0.36256,0.00296,0.89264,0.91207,0.95988,0.76488,0.79153,0.4174,0.00346,2.905e-06,2.905e-06,2.905e-06
