epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3211.49,0.3058,0.23416,0.00533,0.98519,0.98984,0.99072,0.98898,0.1052,0.08438,0.00272,0.000523148,0.000523148,0.000523148
56,3261.12,0.3168,0.24798,0.00548,0.98653,0.98144,0.99126,0.99003,0.10772,0.10974,0.00274,0.000519613,0.000519613,0.000519613
57,3323.11,0.31475,0.24951,0.00542,0.98964,0.98138,0.99262,0.99109,0.09767,0.0802,0.00249,0.000516079,0.000516079,0.000516079
58,3384.76,0.3037,0.23937,0.00513,0.98875,0.9817,0.99265,0.99046,0.09494,0.08651,0.00239,0.000512545,0.000512545,0.000512545
59,3434.34,0.30643,0.21622,0.00534,0.9804,0.98898,0.99186,0.99013,0.10098,0.08166,0.00256,0.000509011,0.000509011,0.000509011
60,3497.01,0.30903,0.22157,0.00527,0.98451,0.99221,0.98974,0.98738,0.09703,0.08437,0.00244,0.000505476,0.000505476,0.000505476
61,3557.97,0.30127,0.23106,0.00513,0.98682,0.97904,0.99246,0.99114,0.09145,0.07958,0.00226,0.000501942,0.000501942,0.000501942
62,3607.48,0.30428,0.24048,0.00517,0.98516,0.9923,0.99155,0.99086,0.08942,0.07763,0.00219,0.000498408,0.000498408,0.000498408
63,3657.28,0.30199,0.22939,0.00523,0.97946,0.99287,0.99102,0.99043,0.09059,0.08849,0.00232,0.000494873,0.000494873,0.000494873
64,3719.46,0.30566,0.23171,0.00526,0.98475,0.97288,0.99216,0.99141,0.09337,0.09021,0.00229,0.000491339,0.000491339,0.000491339
65,3800.08,0.29465,0.2166,0.00502,0.99094,0.98109,0.99378,0.99246,0.10584,0.08607,0.00263,0.000487805,0.000487805,0.000487805
66,3849.44,0.30707,0.22407,0.00531,0.99036,0.98605,0.99334,0.99206,0.0871,0.08014,0.00212,0.000484271,0.000484271,0.000484271
67,3898.77,0.30821,0.22494,0.00537,0.9804,0.99178,0.98953,0.98881,0.09983,0.08323,0.00253,0.000480736,0.000480736,0.000480736
68,3961.25,0.2908,0.21712,0.00497,0.98611,0.98193,0.99163,0.9914,0.09857,0.12034,0.00245,0.000477202,0.000477202,0.000477202
69,4022.46,0.29589,0.21493,0.00498,0.98555,0.98393,0.99366,0.99194,0.08445,0.07424,0.00211,0.000473668,0.000473668,0.000473668
70,4071.67,0.29771,0.20987,0.00507,0.9899,0.98443,0.9916,0.98979,0.08502,0.07435,0.00215,0.000470133,0.000470133,0.000470133
71,4120.48,0.29381,0.21341,0.00504,0.98163,0.98599,0.99114,0.9905,0.08242,0.0759,0.00206,0.000466599,0.000466599,0.000466599
72,4183.49,0.28524,0.2183,0.00482,0.98666,0.98717,0.99053,0.99013,0.08515,0.08154,0.00206,0.000463065,0.000463065,0.000463065
73,4244.17,0.2917,0.21418,0.00498,0.98711,0.98239,0.99026,0.98994,0.09301,0.08704,0.00235,0.00045953,0.00045953,0.00045953
74,4293.29,0.27637,0.1974,0.00468,0.98242,0.98656,0.99205,0.99105,0.08685,0.06759,0.00214,0.000455996,0.000455996,0.000455996
75,4342.72,0.271,0.18924,0.00464,0.98647,0.99097,0.99176,0.99116,0.09009,0.06858,0.00231,0.000452462,0.000452462,0.000452462
76,4405.57,0.27706,0.19237,0.00485,0.98707,0.9899,0.99217,0.99131,0.08374,0.0635,0.00206,0.000448928,0.000448928,0.000448928
