epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2241.78,0.27941,0.18122,0.00479,0.99486,0.993,0.99494,0.9941,0.09336,0.05091,0.00226,0.000266322,0.000266322,0.000266322
97,2264.57,0.27218,0.16659,0.00481,0.98661,0.99067,0.99486,0.99431,0.09898,0.0667,0.00243,0.00026161,0.00026161,0.00026161
98,2287.59,0.28503,0.1861,0.00488,0.99473,0.99488,0.99494,0.99423,0.0912,0.05121,0.00219,0.000256897,0.000256897,0.000256897
99,2310.44,0.25962,0.16602,0.00448,0.98866,0.98715,0.99476,0.99434,0.08655,0.05704,0.00209,0.000252185,0.000252185,0.000252185
100,2333.46,0.28411,0.18539,0.00492,0.99245,0.99113,0.99487,0.99436,0.09508,0.05268,0.00229,0.000247472,0.000247472,0.000247472
101,2356.55,0.26439,0.18087,0.00446,0.98993,0.997,0.9949,0.99449,0.08424,0.04908,0.00203,0.00024276,0.00024276,0.00024276
102,2379.66,0.24895,0.15201,0.00437,0.99269,0.99929,0.99497,0.99455,0.08729,0.04767,0.00207,0.000238048,0.000238048,0.000238048
103,2402.64,0.25919,0.15703,0.00447,0.99602,0.99468,0.99497,0.9942,0.08899,0.04675,0.00219,0.000233335,0.000233335,0.000233335
104,2425.73,0.27859,0.18333,0.00485,0.99128,0.99387,0.99492,0.9937,0.08824,0.05208,0.00218,0.000228623,0.000228623,0.000228623
105,2448.62,0.26044,0.16228,0.00465,0.99073,0.98745,0.99487,0.9942,0.08451,0.05303,0.00203,0.00022391,0.00022391,0.00022391
106,2471.46,0.26784,0.18029,0.00469,0.99336,0.99302,0.99474,0.99421,0.08598,0.05222,0.0021,0.000219198,0.000219198,0.000219198
107,2494.49,0.25313,0.1662,0.00449,0.99544,0.99322,0.99488,0.99424,0.0899,0.05007,0.00222,0.000214486,0.000214486,0.000214486
108,2517.3,0.24299,0.14759,0.00403,0.99207,0.99566,0.99496,0.99433,0.08452,0.04606,0.00208,0.000209773,0.000209773,0.000209773
109,2540.02,0.25214,0.15381,0.00433,0.99495,0.99492,0.99497,0.99429,0.07949,0.04744,0.00194,0.000205061,0.000205061,0.000205061
