epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2013.66,0.55953,1.2711,0.00145,0.31665,0.49305,0.41914,0.38319,0.38236,1.25361,0.00128,0.000162207,0.000162207,0.000162207
67,2044.8,0.50633,1.3496,0.00151,0.31898,0.50016,0.42186,0.38574,0.38199,1.24635,0.00129,0.000157703,0.000157703,0.000157703
68,2075.28,0.54876,1.31508,0.00147,0.3264,0.50283,0.4235,0.38593,0.38578,1.23903,0.00128,0.000153198,0.000153198,0.000153198
69,2105.77,0.55483,1.29999,0.00151,0.33357,0.49936,0.4248,0.38743,0.39416,1.23674,0.00131,0.000148694,0.000148694,0.000148694
70,2136.58,0.58052,1.27567,0.00144,0.34413,0.49771,0.42786,0.38985,0.39666,1.23242,0.00135,0.00014419,0.00014419,0.00014419
71,2167.55,0.54909,1.24767,0.0014,0.35384,0.48415,0.43021,0.39282,0.38265,1.22298,0.00124,0.000139685,0.000139685,0.000139685
72,2198.49,0.57157,1.22533,0.00138,0.35269,0.47312,0.43433,0.39653,0.37891,1.21446,0.00127,0.000135181,0.000135181,0.000135181
73,2229.44,0.57128,1.23965,0.00149,0.35431,0.47643,0.43589,0.39801,0.37713,1.21038,0.00123,0.000130676,0.000130676,0.000130676
74,2260.03,0.56722,1.274,0.00149,0.36105,0.47468,0.43819,0.3995,0.38245,1.20435,0.00131,0.000126172,0.000126172,0.000126172
75,2290.32,0.53886,1.19396,0.00144,0.35133,0.49031,0.44185,0.40297,0.3797,1.19853,0.0013,0.000121667,0.000121667,0.000121667
76,2321.52,0.59477,1.23251,0.00149,0.35339,0.49895,0.44248,0.40337,0.37909,1.19118,0.00124,0.000117163,0.000117163,0.000117163
77,2352.9,0.58418,1.19731,0.00137,0.34258,0.52115,0.44389,0.40505,0.37785,1.18903,0.00124,0.000112658,0.000112658,0.000112658
78,2384.07,0.55595,1.20863,0.00139,0.35398,0.51421,0.44528,0.40713,0.37494,1.18714,0.00121,0.000108154,0.000108154,0.000108154
79,2415.25,0.55487,1.18423,0.00129,0.352,0.51796,0.44894,0.4101,0.38424,1.18506,0.00128,0.000103649,0.000103649,0.000103649
80,2445.55,0.51595,1.33148,0.00157,0.34341,0.51791,0.45175,0.41278,0.37519,1.18201,0.00127,9.91445e-05,9.91445e-05,9.91445e-05
81,2476.16,0.55676,1.21518,0.00143,0.34406,0.52229,0.45423,0.41497,0.36587,1.17806,0.0012,9.464e-05,9.464e-05,9.464e-05
82,2507.26,0.58477,1.2361,0.0014,0.34437,0.51855,0.45488,0.41539,0.36057,1.17204,0.00114,9.01355e-05,9.01355e-05,9.01355e-05
83,2538.42,0.54302,1.20307,0.00142,0.35755,0.51276,0.45472,0.41491,0.36235,1.16917,0.00115,8.5631e-05,8.5631e-05,8.5631e-05
84,2569.4,0.54268,1.2298,0.00134,0.37622,0.49659,0.4565,0.41689,0.3649,1.16928,0.00115,8.11265e-05,8.11265e-05,8.11265e-05
85,2600.24,0.52974,1.16685,0.00142,0.38014,0.49658,0.45795,0.4179,0.36677,1.16948,0.00116,7.6622e-05,7.6622e-05,7.6622e-05
86,2630.97,0.54762,1.18435,0.00138,0.38476,0.50165,0.46013,0.41971,0.36839,1.16796,0.00117,7.21175e-05,7.21175e-05,7.21175e-05
87,2661.82,0.58091,1.19251,0.00135,0.37712,0.50483,0.45939,0.41913,0.36771,1.1679,0.00118,6.7613e-05,6.7613e-05,6.7613e-05
88,2693.09,0.54783,1.18663,0.00133,0.37835,0.50238,0.46332,0.42256,0.36443,1.16497,0.00116,6.31085e-05,6.31085e-05,6.31085e-05
89,2723.98,0.54083,1.18675,0.00141,0.37511,0.50847,0.46363,0.42364,0.36229,1.16426,0.00115,5.8604e-05,5.8604e-05,5.8604e-05
90,2754.7,0.52686,1.18998,0.00135,0.37096,0.51178,0.46382,0.42408,0.35938,1.16198,0.00113,5.40995e-05,5.40995e-05,5.40995e-05
91,2784.14,0.50677,1.48531,0.00147,0.37809,0.5082,0.46294,0.42298,0.36373,1.16022,0.00117,4.9595e-05,4.9595e-05,4.9595e-05
92,2813.71,0.54402,1.54071,0.00146,0.39457,0.49572,0.46438,0.42357,0.37144,1.16462,0.00123,4.50905e-05,4.50905e-05,4.50905e-05
93,2843.09,0.49736,1.46512,0.00141,0.40373,0.50045,0.46437,0.42373,0.37516,1.16621,0.00127,4.0586e-05,4.0586e-05,4.0586e-05
94,2873.11,0.45413,1.44912,0.0013,0.40077,0.50439,0.46721,0.42443,0.38114,1.16952,0.00133,3.60815e-05,3.60815e-05,3.60815e-05
95,2902.93,0.50789,1.4445,0.00131,0.40897,0.49937,0.4663,0.42274,0.38671,1.17301,0.00136,3.1577e-05,3.1577e-05,3.1577e-05
96,2932.65,0.47268,1.4115,0.00139,0.40259,0.48193,0.46558,0.42225,0.38973,1.17755,0.00135,2.70725e-05,2.70725e-05,2.70725e-05
97,2962.25,0.43229,1.40816,0.00138,0.4036,0.47729,0.4646,0.42168,0.39054,1.17911,0.00134,2.2568e-05,2.2568e-05,2.2568e-05
98,2991.72,0.47503,1.42482,0.00128,0.40691,0.47676,0.46499,0.42134,0.39016,1.18206,0.0013,1.80635e-05,1.80635e-05,1.80635e-05
99,3021.16,0.45028,1.40599,0.00126,0.40748,0.47191,0.46472,0.42155,0.39052,1.18278,0.00128,1.3559e-05,1.3559e-05,1.3559e-05
100,3050.92,0.46746,1.40937,0.0013,0.40719,0.47051,0.46469,0.42091,0.39096,1.18203,0.00127,9.0545e-06,9.0545e-06,9.0545e-06
